support,itemsets,is_relevant
0.002768853015698874,frozenset({'estate_estate'}),True
0.002768853015698874,"frozenset({'estate_estate', 'estate_agent', 'agent_office'})",True
0.002768853015698874,"frozenset({'estate_estate', 'TAG_KEY:office'})",True
0.002768853015698874,"frozenset({'estate_estate', 'estate_agent', 'agent_office', 'TAG_KEY:office'})",True
0.002768853015698874,"frozenset({'estate_agent', 'estate_estate'})",True
0.0027427317608337905,frozenset({'housing_society'}),True
0.002690489251103623,"frozenset({'pitch_leisure', 'park_pitch', 'TAG_KEY:leisure'})",True
0.002690489251103623,frozenset({'park_pitch'}),True
0.002690489251103623,"frozenset({'pitch_leisure', 'park_pitch'})",True
0.002690489251103623,"frozenset({'park_pitch', 'TAG_KEY:leisure'})",True
0.002664367996238539,"frozenset({'office_government', 'government_office'})",True
0.002664367996238539,"frozenset({'office_government', 'government_office', 'TAG_KEY:office'})",True
0.002664367996238539,"frozenset({'office_government', 'TAG_KEY:office'})",True
0.002664367996238539,frozenset({'office_government'}),True
0.002586004231643288,frozenset({'society_neighbourhood'}),True
0.002586004231643288,"frozenset({'society_neighbourhood', 'neighbourhood_place'})",True
0.002586004231643288,"frozenset({'society_neighbourhood', 'TAG_KEY:place'})",True
0.002586004231643288,"frozenset({'society_neighbourhood', 'neighbourhood_place', 'TAG_KEY:place'})",True
0.0025598829767782046,"frozenset({'store_shop', 'TAG_KEY:shop'})",True
0.0025598829767782046,"frozenset({'TAG_KEY:shop', 'market_supermarket', 'supermarket_shop'})",True
0.0025598829767782046,"frozenset({'market_supermarket', 'supermarket_shop'})",True
0.0025598829767782046,"frozenset({'market_supermarket', 'TAG_KEY:shop'})",True
0.0025598829767782046,frozenset({'market_supermarket'}),True
0.0025598829767782046,frozenset({'store_shop'}),True
0.002507640467048037,"frozenset({'estate_agent', 'real_estate', 'agent_office', 'TAG_KEY:office'})",True
0.002507640467048037,"frozenset({'estate_agent', 'real_estate', 'agent_office'})",True
0.002507640467048037,"frozenset({'estate_agent', 'real_estate', 'TAG_KEY:office'})",True
