k,support,support_frac,items,items_readable
3,70,0.075594,islamabad|mosque_islamabad|آباد,"islamabad, mosque_islamabad, آباد"
3,70,0.075594,islamabad|mosque_islamabad|اسلام,"islamabad, mosque_islamabad, اسلام"
3,70,0.075594,islamabad|mosque_islamabad|اسلام_آباد,"islamabad, mosque_islamabad, اسلام_آباد"
3,70,0.075594,islamabad|mosque|آباد,"islamabad, mosque, آباد"
3,70,0.075594,islamabad|mosque|اسلام,"islamabad, mosque, اسلام"
3,70,0.075594,islamabad|mosque|اسلام_آباد,"islamabad, mosque, اسلام_آباد"
3,70,0.075594,islamabad|stop_islamabad|tag:highway=bus_stop,"islamabad, stop_islamabad, tag:highway=bus_stop"
3,70,0.075594,islamabad|stop|stop_islamabad,"islamabad, stop, stop_islamabad"
3,70,0.075594,islamabad|stop|tag:highway=bus_stop,"islamabad, stop, tag:highway=bus_stop"
3,70,0.075594,mosque_islamabad|آباد|اسلام,"mosque_islamabad, آباد, اسلام"
3,70,0.075594,mosque_islamabad|آباد|اسلام_آباد,"mosque_islamabad, آباد, اسلام_آباد"
3,70,0.075594,mosque_islamabad|اسلام|اسلام_آباد,"mosque_islamabad, اسلام, اسلام_آباد"
3,70,0.075594,mosque|mosque_islamabad|آباد,"mosque, mosque_islamabad, آباد"
3,70,0.075594,mosque|mosque_islamabad|اسلام,"mosque, mosque_islamabad, اسلام"
3,70,0.075594,mosque|mosque_islamabad|اسلام_آباد,"mosque, mosque_islamabad, اسلام_آباد"
3,70,0.075594,mosque|آباد|اسلام,"mosque, آباد, اسلام"
3,70,0.075594,mosque|آباد|اسلام_آباد,"mosque, آباد, اسلام_آباد"
3,70,0.075594,mosque|اسلام|اسلام_آباد,"mosque, اسلام, اسلام_آباد"
3,70,0.075594,stop|stop_islamabad|tag:highway=bus_stop,"stop, stop_islamabad, tag:highway=bus_stop"
3,69,0.074514,amenity_mosque|tag:amenity=place_of_worship|آباد,"amenity_mosque, tag:amenity=place_of_worship, آباد"
3,69,0.074514,amenity_mosque|tag:amenity=place_of_worship|اسلام,"amenity_mosque, tag:amenity=place_of_worship, اسلام"
3,69,0.074514,amenity_mosque|tag:amenity=place_of_worship|اسلام_آباد,"amenity_mosque, tag:amenity=place_of_worship, اسلام_آباد"
3,69,0.074514,amenity|tag:amenity=place_of_worship|آباد,"amenity, tag:amenity=place_of_worship, آباد"
3,69,0.074514,amenity|tag:amenity=place_of_worship|اسلام,"amenity, tag:amenity=place_of_worship, اسلام"
3,69,0.074514,amenity|tag:amenity=place_of_worship|اسلام_آباد,"amenity, tag:amenity=place_of_worship, اسلام_آباد"
3,69,0.074514,islamabad|tag:amenity=place_of_worship|آباد,"islamabad, tag:amenity=place_of_worship, آباد"
3,69,0.074514,islamabad|tag:amenity=place_of_worship|اسلام,"islamabad, tag:amenity=place_of_worship, اسلام"
3,69,0.074514,islamabad|tag:amenity=place_of_worship|اسلام_آباد,"islamabad, tag:amenity=place_of_worship, اسلام_آباد"
3,69,0.074514,mosque_islamabad|tag:amenity=place_of_worship|آباد,"mosque_islamabad, tag:amenity=place_of_worship, آباد"
3,69,0.074514,mosque_islamabad|tag:amenity=place_of_worship|اسلام,"mosque_islamabad, tag:amenity=place_of_worship, اسلام"
3,69,0.074514,mosque_islamabad|tag:amenity=place_of_worship|اسلام_آباد,"mosque_islamabad, tag:amenity=place_of_worship, اسلام_آباد"
3,69,0.074514,mosque|tag:amenity=place_of_worship|آباد,"mosque, tag:amenity=place_of_worship, آباد"
3,69,0.074514,mosque|tag:amenity=place_of_worship|اسلام,"mosque, tag:amenity=place_of_worship, اسلام"
3,69,0.074514,mosque|tag:amenity=place_of_worship|اسلام_آباد,"mosque, tag:amenity=place_of_worship, اسلام_آباد"
3,69,0.074514,tag:amenity=place_of_worship|آباد|اسلام,"tag:amenity=place_of_worship, آباد, اسلام"
3,69,0.074514,tag:amenity=place_of_worship|آباد|اسلام_آباد,"tag:amenity=place_of_worship, آباد, اسلام_آباد"
3,69,0.074514,tag:amenity=place_of_worship|اسلام|اسلام_آباد,"tag:amenity=place_of_worship, اسلام, اسلام_آباد"
3,65,0.070194,amenity|islamabad|tag:building=yes,"amenity, islamabad, tag:building=yes"
3,64,0.069114,amenity|cafe|islamabad,"amenity, cafe, islamabad"
3,60,0.064795,amenity_cafe|cafe_islamabad|islamabad,"amenity_cafe, cafe_islamabad, islamabad"
3,60,0.064795,amenity_cafe|cafe_islamabad|tag:amenity=cafe,"amenity_cafe, cafe_islamabad, tag:amenity=cafe"
3,60,0.064795,amenity_cafe|cafe|cafe_islamabad,"amenity_cafe, cafe, cafe_islamabad"
3,60,0.064795,amenity_cafe|cafe|islamabad,"amenity_cafe, cafe, islamabad"
3,60,0.064795,amenity_cafe|cafe|tag:amenity=cafe,"amenity_cafe, cafe, tag:amenity=cafe"
3,60,0.064795,amenity_cafe|islamabad|tag:amenity=cafe,"amenity_cafe, islamabad, tag:amenity=cafe"
3,60,0.064795,amenity|amenity_cafe|cafe,"amenity, amenity_cafe, cafe"
3,60,0.064795,amenity|amenity_cafe|cafe_islamabad,"amenity, amenity_cafe, cafe_islamabad"
3,60,0.064795,amenity|amenity_cafe|islamabad,"amenity, amenity_cafe, islamabad"
3,60,0.064795,amenity|amenity_cafe|tag:amenity=cafe,"amenity, amenity_cafe, tag:amenity=cafe"
3,60,0.064795,amenity|cafe_islamabad|islamabad,"amenity, cafe_islamabad, islamabad"
3,60,0.064795,amenity|cafe_islamabad|tag:amenity=cafe,"amenity, cafe_islamabad, tag:amenity=cafe"
3,60,0.064795,amenity|cafe|cafe_islamabad,"amenity, cafe, cafe_islamabad"
3,60,0.064795,amenity|cafe|tag:amenity=cafe,"amenity, cafe, tag:amenity=cafe"
3,60,0.064795,amenity|islamabad|tag:amenity=cafe,"amenity, islamabad, tag:amenity=cafe"
3,60,0.064795,cafe_islamabad|islamabad|tag:amenity=cafe,"cafe_islamabad, islamabad, tag:amenity=cafe"
3,60,0.064795,cafe|cafe_islamabad|islamabad,"cafe, cafe_islamabad, islamabad"
3,60,0.064795,cafe|cafe_islamabad|tag:amenity=cafe,"cafe, cafe_islamabad, tag:amenity=cafe"
3,60,0.064795,cafe|islamabad|tag:amenity=cafe,"cafe, islamabad, tag:amenity=cafe"
3,58,0.062635,islamabad|leisure_park|park,"islamabad, leisure_park, park"
3,58,0.062635,islamabad|leisure_park|park_islamabad,"islamabad, leisure_park, park_islamabad"
3,58,0.062635,islamabad|leisure_park|tag:leisure=park,"islamabad, leisure_park, tag:leisure=park"
3,58,0.062635,islamabad|leisure|leisure_park,"islamabad, leisure, leisure_park"
3,58,0.062635,islamabad|leisure|park,"islamabad, leisure, park"
3,58,0.062635,islamabad|leisure|park_islamabad,"islamabad, leisure, park_islamabad"
3,58,0.062635,islamabad|leisure|tag:leisure=park,"islamabad, leisure, tag:leisure=park"
3,58,0.062635,islamabad|park_islamabad|tag:leisure=park,"islamabad, park_islamabad, tag:leisure=park"
3,58,0.062635,islamabad|park|park_islamabad,"islamabad, park, park_islamabad"
3,58,0.062635,islamabad|park|tag:leisure=park,"islamabad, park, tag:leisure=park"
