class_label,k,items,support_total,support_in_class,support_frac_total,support_frac_in_class,conf,lift,growth,wracc,odds_ratio,chi2,p_value,ig,supp_not_c
amenity:bank,3,jinnah|tag:amenity=bank|آباد,7,7,0.007559,0.152174,1.0,20.130434782608695,152173913043.47827,0.007183874534097748,334.36708860759495,134.9330557789658,3.4149085425099055e-31,0.033576148295206616,0
amenity:bank,3,jinnah|tag:amenity=bank|اسلام,7,7,0.007559,0.152174,1.0,20.130434782608695,152173913043.47827,0.007183874534097748,334.36708860759495,134.9330557789658,3.4149085425099055e-31,0.033576148295206616,0
amenity:bank,3,jinnah|tag:amenity=bank|اسلام_آباد,7,7,0.007559,0.152174,1.0,20.130434782608695,152173913043.47827,0.007183874534097748,334.36708860759495,134.9330557789658,3.4149085425099055e-31,0.033576148295206616,0
amenity:bank,2,islamabad_jinnah|tag:amenity=bank,7,7,0.007559,0.152174,1.0,20.130434782608695,152173913043.47827,0.007183874534097748,334.36708860759495,134.9330557789658,3.4149085425099055e-31,0.033576148295206616,0
amenity:bank,2,islamabad_اسلام|tag:amenity=bank,7,7,0.007559,0.152174,1.0,20.130434782608695,152173913043.47827,0.007183874534097748,334.36708860759495,134.9330557789658,3.4149085425099055e-31,0.033576148295206616,0
amenity:bank,2,jinnah_اسلام|tag:amenity=bank,7,7,0.007559,0.152174,1.0,20.130434782608695,152173913043.47827,0.007183874534097748,334.36708860759495,134.9330557789658,3.4149085425099055e-31,0.033576148295206616,0
amenity:bank,2,jinnah|tag:amenity=bank,7,7,0.007559,0.152174,1.0,20.130434782608695,152173913043.47827,0.007183874534097748,334.36708860759495,134.9330557789658,3.4149085425099055e-31,0.033576148295206616,0
amenity:bank,3,amenity_bank|tag:amenity=bank|اسٹینڈرڈ,6,6,0.006479,0.130435,1.0,20.130434782608695,130434782608.69565,0.006157606743512355,282.6296296296296,115.53119092627597,6.020465092511504e-27,0.02867230005078337,0
amenity:bank,3,amenity_bank|tag:amenity=bank|اسٹینڈرڈ_چارٹرڈ,6,6,0.006479,0.130435,1.0,20.130434782608695,130434782608.69565,0.006157606743512355,282.6296296296296,115.53119092627597,6.020465092511504e-27,0.02867230005078337,0
amenity:bank,3,amenity_bank|tag:amenity=bank|چارٹرڈ,6,6,0.006479,0.130435,1.0,20.130434782608695,130434782608.69565,0.006157606743512355,282.6296296296296,115.53119092627597,6.020465092511504e-27,0.02867230005078337,0
amenity:bank,3,amenity_bank|tag:amenity=bank|چارٹرڈ_amenity,6,6,0.006479,0.130435,1.0,20.130434782608695,130434782608.69565,0.006157606743512355,282.6296296296296,115.53119092627597,6.020465092511504e-27,0.02867230005078337,0
amenity:bank,3,amenity|tag:amenity=bank|اسٹینڈرڈ,6,6,0.006479,0.130435,1.0,20.130434782608695,130434782608.69565,0.006157606743512355,282.6296296296296,115.53119092627597,6.020465092511504e-27,0.02867230005078337,0
amenity:bank,3,amenity|tag:amenity=bank|اسٹینڈرڈ_چارٹرڈ,6,6,0.006479,0.130435,1.0,20.130434782608695,130434782608.69565,0.006157606743512355,282.6296296296296,115.53119092627597,6.020465092511504e-27,0.02867230005078337,0
amenity:bank,3,amenity|tag:amenity=bank|چارٹرڈ,6,6,0.006479,0.130435,1.0,20.130434782608695,130434782608.69565,0.006157606743512355,282.6296296296296,115.53119092627597,6.020465092511504e-27,0.02867230005078337,0
amenity:bank,3,amenity|tag:amenity=bank|چارٹرڈ_amenity,6,6,0.006479,0.130435,1.0,20.130434782608695,130434782608.69565,0.006157606743512355,282.6296296296296,115.53119092627597,6.020465092511504e-27,0.02867230005078337,0
amenity:bank,3,bank_islamabad|tag:amenity=bank|اسٹینڈرڈ,6,6,0.006479,0.130435,1.0,20.130434782608695,130434782608.69565,0.006157606743512355,282.6296296296296,115.53119092627597,6.020465092511504e-27,0.02867230005078337,0
amenity:bank,3,bank_islamabad|tag:amenity=bank|اسٹینڈرڈ_چارٹرڈ,6,6,0.006479,0.130435,1.0,20.130434782608695,130434782608.69565,0.006157606743512355,282.6296296296296,115.53119092627597,6.020465092511504e-27,0.02867230005078337,0
amenity:bank,3,bank_islamabad|tag:amenity=bank|چارٹرڈ,6,6,0.006479,0.130435,1.0,20.130434782608695,130434782608.69565,0.006157606743512355,282.6296296296296,115.53119092627597,6.020465092511504e-27,0.02867230005078337,0
amenity:bank,3,bank_islamabad|tag:amenity=bank|چارٹرڈ_amenity,6,6,0.006479,0.130435,1.0,20.130434782608695,130434782608.69565,0.006157606743512355,282.6296296296296,115.53119092627597,6.020465092511504e-27,0.02867230005078337,0
amenity:bank,3,bank|tag:amenity=bank|اسٹینڈرڈ,6,6,0.006479,0.130435,1.0,20.130434782608695,130434782608.69565,0.006157606743512355,282.6296296296296,115.53119092627597,6.020465092511504e-27,0.02867230005078337,0
amenity:bank,3,bank|tag:amenity=bank|اسٹینڈرڈ_چارٹرڈ,6,6,0.006479,0.130435,1.0,20.130434782608695,130434782608.69565,0.006157606743512355,282.6296296296296,115.53119092627597,6.020465092511504e-27,0.02867230005078337,0
amenity:bank,3,bank|tag:amenity=bank|چارٹرڈ,6,6,0.006479,0.130435,1.0,20.130434782608695,130434782608.69565,0.006157606743512355,282.6296296296296,115.53119092627597,6.020465092511504e-27,0.02867230005078337,0
amenity:bank,3,bank|tag:amenity=bank|چارٹرڈ_amenity,6,6,0.006479,0.130435,1.0,20.130434782608695,130434782608.69565,0.006157606743512355,282.6296296296296,115.53119092627597,6.020465092511504e-27,0.02867230005078337,0
amenity:bank,3,islamabad|tag:amenity=bank|اسٹینڈرڈ,6,6,0.006479,0.130435,1.0,20.130434782608695,130434782608.69565,0.006157606743512355,282.6296296296296,115.53119092627597,6.020465092511504e-27,0.02867230005078337,0
amenity:bank,3,islamabad|tag:amenity=bank|اسٹینڈرڈ_چارٹرڈ,6,6,0.006479,0.130435,1.0,20.130434782608695,130434782608.69565,0.006157606743512355,282.6296296296296,115.53119092627597,6.020465092511504e-27,0.02867230005078337,0
amenity:bank,3,islamabad|tag:amenity=bank|چارٹرڈ,6,6,0.006479,0.130435,1.0,20.130434782608695,130434782608.69565,0.006157606743512355,282.6296296296296,115.53119092627597,6.020465092511504e-27,0.02867230005078337,0
amenity:bank,3,islamabad|tag:amenity=bank|چارٹرڈ_amenity,6,6,0.006479,0.130435,1.0,20.130434782608695,130434782608.69565,0.006157606743512355,282.6296296296296,115.53119092627597,6.020465092511504e-27,0.02867230005078337,0
amenity:bank,3,tag:amenity=bank|اسٹینڈرڈ_چارٹرڈ|چارٹرڈ,6,6,0.006479,0.130435,1.0,20.130434782608695,130434782608.69565,0.006157606743512355,282.6296296296296,115.53119092627597,6.020465092511504e-27,0.02867230005078337,0
