antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'tea'}),"frozenset({'koi', 'amenity__cafe'})",0.04089506172839506,0.010802469135802469,0.005401234567901234,0.1320754716981132,12.226415094339623,1.0,0.00495946692577351,1.1397275899087493,0.9573612228479486,0.11666666666666667,0.12259735672445767,0.3160377358490566
frozenset({'hotel'}),frozenset({'amenity__cafe'}),0.037037037037037035,0.13425925925925927,0.016203703703703703,0.4375,3.258620689655172,1.0,0.01123113854595336,1.5390946502057612,0.7197802197802198,0.10447761194029849,0.35026737967914434,0.2790948275862069
frozenset({'hotel'}),frozenset({'tourism__hotel'}),0.037037037037037035,0.12037037037037036,0.018518518518518517,0.5,4.153846153846154,1.0,0.014060356652949246,1.7592592592592593,0.7884615384615385,0.13333333333333336,0.43157894736842106,0.3269230769230769
"frozenset({'hotel', 'tea'})",frozenset({'amenity__cafe'}),0.014660493827160493,0.13425925925925927,0.014660493827160493,1.0,7.448275862068964,1.0,0.012692186785550983,inf,0.8786217697729053,0.10919540229885055,1.0,0.5545977011494253
frozenset({'hotel'}),"frozenset({'amenity__cafe', 'tea'})",0.037037037037037035,0.04089506172839506,0.014660493827160493,0.3958333333333333,9.679245283018867,1.0,0.013145861911294009,1.5874840357598976,0.9311740890688258,0.23170731707317072,0.3700724054706355,0.37716194968553457
frozenset({'tea'}),"frozenset({'hotel', 'amenity__cafe'})",0.04089506172839506,0.016203703703703703,0.014660493827160493,0.3584905660377358,22.12398921832884,1.0,0.013997842363968907,1.5335648148148147,0.9955117076682052,0.34545454545454535,0.34792452830188675,0.6316262353998203
"frozenset({'dhoond', 'hotel'})",frozenset({'amenity__cafe'}),0.006944444444444444,0.13425925925925927,0.006172839506172839,0.8888888888888888,6.620689655172413,1.0,0.00524048353909465,7.7916666666666625,0.8548951048951048,0.04571428571428571,0.8716577540106951,0.46743295019157083
frozenset({'dhoond'}),"frozenset({'hotel', 'amenity__cafe'})",0.04243827160493827,0.016203703703703703,0.006172839506172839,0.14545454545454545,8.976623376623376,1.0,0.0054851823273891175,1.1512509850275807,0.9279814665592265,0.11764705882352941,0.13137967914438503,0.2632034632034632
frozenset({'hotel'}),"frozenset({'dhoond', 'amenity__cafe'})",0.037037037037037035,0.006172839506172839,0.006172839506172839,0.16666666666666666,27.0,1.0,0.00594421582075903,1.1925925925925924,1.0,0.16666666666666666,0.16149068322981366,0.5833333333333334
frozenset({'mashoor'}),frozenset({'shop__convenience'}),0.027777777777777776,0.1095679012345679,0.005401234567901234,0.19444444444444445,1.7746478873239437,1.0,0.002357681755829904,1.1053639846743295,0.44897959183673475,0.04093567251461988,0.09532062391681109,0.12187010954616588
